iter	Passed	Remaining
0	0	26
1	0	35
2	1	34
3	1	31
4	1	29
5	1	28
6	2	29
7	2	31
8	3	31
9	3	30
10	3	30
11	3	29
12	4	27
13	4	26
14	4	26
15	4	25
16	5	24
17	5	24
18	5	23
19	5	23
20	6	22
21	6	22
22	6	21
23	6	21
24	7	21
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	19
31	8	18
32	9	18
33	9	18
34	9	17
35	9	17
36	10	17
37	10	16
38	10	16
39	10	16
40	11	15
41	11	15
42	11	15
43	11	14
44	11	14
45	12	14
46	12	13
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	13	12
53	14	11
54	14	11
55	14	11
56	14	11
57	15	10
58	15	10
59	15	10
60	15	10
61	16	9
62	16	9
63	16	9
64	16	9
65	17	8
66	17	8
67	17	8
68	18	8
69	18	7
70	18	7
71	18	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
